date,amount,merchant,category,mood,note
2024-07-20,350,"Swiggy","Food",4,"Dinner with friends"
2024-07-20,80,"Delhi Metro","Transport",3,"Commute to work"
2024-07-19,1200,"Myntra","Shopping",2,"Bought a shirt I didn't need"
2024-07-19,250,"Starbucks","Food",5,"Coffee meeting with client"
2024-07-18,1500,"BigBasket","Groceries",3,"Weekly stock-up"
2024-07-18,3000,"Airtel","Bills",2,"Internet bill was high this month"
2024-07-17,750,"PVR Cinemas","Entertainment",5,"Watched a great movie"
2024-07-16,450,"Apollo Pharmacy","Health",3,""
2024-07-15,500,"Uber","Transport",3,"Trip to office"
2024-07-14,2200,"Amazon","Shopping",4,"New headphones as a reward"
2024-07-14,600,"Zomato","Food",1,"Late night stress eating"
2024-07-13,950,"Gift Store","Other",5,"Birthday gift for mom"
2024-07-12,5500,"Indigo","Travel",5,"Booked flights for vacation!"
2024-07-11,250,"Blinkit","Groceries",3,"Forgot to buy milk"
2024-07-10,1800,"Zara","Shopping",1,"Impulse buy, probably will return"
